,userID,stime,etime,lon,lat,duration,grid,context
24,97,2007-04-12 14:34:44,2007-04-15 15:00:53,116.312266666667,39.9680166666667,260769.0,14616,
42,97,2007-04-15 15:08:38,2007-04-16 00:52:26,116.313433333333,39.96925,35028.0,14616,
46,97,2007-04-16 00:53:57,2007-04-16 03:31:08,116.324983333333,39.9750833333333,9431.0,14805,
91,97,2007-04-16 03:55:49,2007-04-16 09:32:01,116.3271,39.9800166666667,20172.0,14806,"User 97 will move from grid 14806 to grid 14994, arriving around in about 2 months."
144,97,2007-04-16 10:03:02,2007-04-16 15:07:27,116.325816666667,39.9797166666667,18265.0,14806,
210,97,2007-04-16 15:14:59,2007-04-17 00:42:14,116.31315,39.9684333333333,34035.0,14616,
246,97,2007-04-17 00:48:53,2007-04-17 03:29:45,116.3259,39.9750333333333,9652.0,14805,
290,97,2007-04-17 03:59:10,2007-04-17 09:51:05,116.317266666667,39.96855,21115.0,14805,
297,97,2007-04-17 09:52:57,2007-04-17 15:21:09,116.327116666667,39.97965,19692.0,14806,
359,97,2007-04-17 15:29:33,2007-04-18 01:47:19,116.312866666667,39.96865,37066.0,14616,
394,97,2007-04-18 01:55:23,2007-04-18 12:04:43,116.326233333333,39.9751,36560.0,14805,
436,97,2007-04-18 12:11:38,2007-04-19 09:47:57,116.325166666667,39.9749166666667,77779.0,14805,
483,97,2007-04-19 10:10:48,2007-04-19 15:21:33,116.327116666667,39.9800333333333,18645.0,14806,
531,97,2007-04-19 15:27:57,2007-04-20 04:10:25,116.313183333333,39.9684333333333,45748.0,14616,
550,97,2007-04-20 04:13:06,2007-04-20 09:35:03,116.324883333333,39.9813166666667,19317.0,14806,
655,97,2007-04-20 10:36:47,2007-04-20 14:33:40,116.325216666667,39.9796833333333,14213.0,14806,
720,97,2007-04-20 14:42:03,2007-04-21 03:27:55,116.312966666667,39.9686,45952.0,14616,
753,97,2007-04-21 03:53:34,2007-04-21 09:35:42,116.32705,39.9796833333333,20528.0,14806,
793,97,2007-04-21 09:59:21,2007-04-21 15:45:11,116.327083333333,39.9800333333333,20750.0,14806,
850,97,2007-04-21 15:52:25,2007-04-22 00:58:53,116.3129,39.9685833333333,32788.0,14616,
889,97,2007-04-22 01:06:33,2007-04-23 01:30:59,116.32575,39.9750166666667,87866.0,14805,
922,97,2007-06-13 13:35:09,2007-06-14 00:10:08,116.324216666667,39.9749833333333,38099.0,14805,
938,97,2007-06-14 00:10:08,2007-06-14 14:03:57,116.325016666667,39.97505,50029.0,14805,
1000,97,2007-06-14 14:03:57,2007-06-15 00:54:07,116.324916666667,39.9753833333333,39010.0,14805,
1020,97,2007-06-15 00:54:07,2007-06-15 12:14:27,116.3253,39.9748833333333,40820.0,14805,
1083,97,2007-06-15 12:18:08,2007-06-15 12:55:22,116.313016666667,39.9683833333333,2234.0,14616,
1142,97,2007-06-15 12:59:35,2007-06-17 03:50:04,116.313566666667,39.97445,139829.0,14616,
1170,97,2007-06-17 04:19:10,2007-06-17 14:59:24,116.32705,39.9799833333333,38414.0,14806,
1224,97,2007-06-17 14:59:24,2007-06-18 01:22:46,116.324266666667,39.9751666666667,37402.0,14805,
1240,97,2007-06-18 01:22:46,2007-06-18 14:23:25,116.326333333333,39.9750833333333,46839.0,14805,
1261,97,2007-06-18 14:23:25,2007-06-19 03:15:53,116.3243,39.9749833333333,46348.0,14805,
1296,97,2007-06-19 03:34:50,2007-06-22 12:55:40,116.326083333333,39.9781,292850.0,14806,
1387,97,2007-06-22 13:07:37,2007-06-23 08:26:47,116.31335,39.96835,69550.0,14616,
1393,97,2007-06-23 08:26:47,2007-06-23 14:36:15,116.331833333333,39.9755,22168.0,14994,
1407,97,2007-06-23 14:36:15,2007-06-24 01:04:17,116.32465,39.975,37682.0,14805,
1433,97,2007-06-24 01:04:17,2007-06-25 13:25:41,116.327133333333,39.9750666666667,130884.0,14805,
