,userID,stime,slon,slat,sgrid,etime,elon,elat,egrid,duration
2544,046,2009-10-08 10:36:38,116.327289,39.976323,14805,2009-10-08 10:43:58,116.326951,39.980116,14806,440.0
2633,046,2009-10-09 12:48:13,116.326951,39.980116,14806,2009-10-09 12:51:08,116.363102,39.979885,15373,175.0
2767,046,2009-10-11 03:53:42,116.363102,39.979885,15373,2009-10-11 05:38:45,116.383934,39.906277,15743,6303.0
3696,046,2009-10-11 07:46:59,116.383934,39.906277,15743,2009-10-11 08:36:34,116.369684,39.906993,15554,2975.0
5096,046,2009-10-11 13:37:22,116.369684,39.906993,15554,2009-10-11 13:51:02,116.327306,39.980116,14806,820.0
5274,046,2010-05-07 10:36:32,116.327306,39.980116,14806,2010-05-07 11:35:27,116.33661,40.029466,15000,3535.0
5893,046,2010-05-08 04:24:41,116.33661,40.029466,15000,2010-05-08 05:56:36,116.57838,40.438678,19015,5515.0
7055,046,2010-05-08 07:34:50,116.57838,40.438678,19015,2010-05-08 08:56:00,116.336729,40.029407,15000,4870.0
8106,046,2010-05-11 00:36:39,116.336729,40.029407,15000,2010-05-11 01:16:39,116.336079,39.975144,14994,2400.0
8695,046,2010-05-11 10:17:30,116.336079,39.975144,14994,2010-05-11 11:07:15,116.336593,40.029516,15000,2985.0
9405,046,2010-05-12 00:36:44,116.336593,40.029516,15000,2010-05-12 01:19:39,116.336044,39.975164,14994,2575.0
10041,046,2010-05-12 10:38:05,116.336044,39.975164,14994,2010-05-12 11:31:30,116.336683,40.029394,15000,3205.0
10537,046,2010-05-13 00:58:10,116.336683,40.029394,15000,2010-05-13 01:42:50,116.33606,39.975232,14994,2680.0
11174,046,2010-05-14 01:35:04,116.33606,39.975232,14994,2010-05-14 02:02:14,116.336484,39.975206,14994,1630.0
11490,046,2010-05-14 10:28:09,116.336484,39.975206,14994,2010-05-14 10:52:44,116.336637,40.029478,15000,1475.0
11787,046,2010-05-18 00:37:16,116.336637,40.029478,15000,2010-05-18 01:20:51,116.336518,39.975241,14994,2615.0
12418,046,2010-05-18 11:00:06,116.336518,39.975241,14994,2010-05-18 11:12:46,116.407767,39.987144,16130,760.0
12664,046,2010-05-19 00:26:42,116.407767,39.987144,16130,2010-05-19 01:28:42,116.336489,39.975238,14994,3720.0
13384,046,2010-05-19 10:25:05,116.336489,39.975238,14994,2010-05-19 11:15:05,116.336487,40.02938,15000,3000.0
13916,046,2010-05-20 00:39:45,116.336487,40.02938,15000,2010-05-20 01:40:20,116.336572,39.975172,14994,3635.0
14735,046,2010-05-20 12:01:31,116.336572,39.975172,14994,2010-05-20 12:27:06,116.336668,40.029341,15000,1535.0
15050,046,2010-05-25 00:58:35,116.336668,40.029341,15000,2010-05-25 01:04:25,116.359684,40.008375,15376,350.0
15196,046,2010-05-25 01:43:40,116.359684,40.008375,15376,2010-05-25 02:04:50,116.336419,39.975186,14994,1270.0
15842,046,2010-05-25 10:23:03,116.336419,39.975186,14994,2010-05-25 11:00:33,116.336634,40.029358,15000,2250.0
16439,046,2010-05-26 01:19:37,116.336634,40.029358,15000,2010-05-26 01:38:47,116.336395,39.975145,14994,1150.0
16782,046,2010-05-27 00:29:13,116.336395,39.975145,14994,2010-05-27 01:40:33,116.336456,39.975196,14994,4280.0
17619,046,2010-05-27 10:25:00,116.336456,39.975196,14994,2010-05-27 10:46:10,116.407624,39.986986,16130,1270.0
17968,046,2010-05-27 11:34:40,116.407624,39.986986,16130,2010-05-27 11:54:50,116.336656,40.029465,15000,1210.0
18340,046,2010-05-28 00:52:08,116.336656,40.029465,15000,2010-05-28 01:32:58,116.336676,39.975063,14994,2450.0
18963,046,2010-05-28 10:29:09,116.336676,39.975063,14994,2010-05-28 11:12:04,116.325015,40.034584,14812,2575.0
19561,046,2010-06-01 00:32:27,116.325015,40.034584,14812,2010-06-01 01:21:47,116.336471,39.975157,14994,2960.0
20183,046,2010-06-01 11:15:12,116.336471,39.975157,14994,2010-06-01 11:48:42,116.336553,40.029418,15000,2010.0
20610,046,2010-06-02 00:34:46,116.336553,40.029418,15000,2010-06-02 01:22:36,116.336343,39.975058,14994,2870.0
21271,046,2010-06-02 10:49:29,116.336343,39.975058,14994,2010-06-02 11:25:54,116.328051,40.032619,14812,2185.0
