,userID,stime,etime,lon,lat,duration,grid
0,047,2007-08-01 00:47:40,2007-08-02 04:32:07,116.330183333333,39.97675,99867.0,14995
25,047,2007-08-02 04:32:16,2007-08-02 10:21:50,116.332433333333,39.9755333333333,20974.0,14994
61,047,2007-08-02 10:26:15,2007-08-03 04:02:20,116.3283,39.9799333333333,63365.0,14806
152,047,2007-08-03 04:27:06,2007-08-03 11:45:09,116.328316666667,39.97995,26283.0,14806
185,047,2007-08-03 11:45:09,2007-08-03 13:11:31,116.327566666667,39.9801,5182.0,14806
246,047,2007-08-03 13:39:47,2007-08-03 14:11:09,116.346433333333,39.9396666666667,1882.0,15179
257,047,2007-08-03 14:11:09,2007-08-06 05:37:36,116.4217,39.9036166666667,228387.0,16309
651,047,2007-08-06 05:57:04,2007-08-06 11:04:51,116.328266666667,39.98155,18467.0,14806
661,047,2007-08-06 11:04:51,2007-08-07 10:33:56,116.332516666667,39.9773333333333,84545.0,14995
701,047,2007-08-07 10:33:56,2007-08-08 01:03:17,116.328516666667,39.9802166666667,52161.0,14806
720,047,2007-08-08 01:03:17,2007-08-09 00:35:45,116.3284,39.9797,84748.0,14806
