,userID,stime,etime,lon,lat,duration,grid,context
102,0,2008-10-23 03:01:40,2008-10-23 04:08:07,116.301309,39.984345,3987.0,14428,"User 0 will move from grid 14428 to grid 14800, arriving around in about 3 days, on 2008-10-26."
419,0,2008-10-23 04:30:57,2008-10-23 09:44:15,116.322261,39.998151,18798.0,14808,"User 0 will move from grid 14808 to grid 14431, arriving around 2008-11-11 00:17:09."
491,0,2008-10-23 09:44:15,2008-10-23 10:14:21,116.321396,40.007122,1806.0,14809,"User 0 will move from grid 14809 to grid 14432, arriving around 2008-10-28 00:38:31."
814,0,2008-10-23 10:28:45,2008-10-26 13:44:12,116.319674,40.007457,270927.0,14809,"User 0 will move from grid 14809 to grid 14404, arriving around in about 6 months."
1889,0,2008-10-26 15:03:47,2008-10-27 11:54:52,116.320306,39.926631,75065.0,14800,"User 0 will move from grid 14800 to grid 14404, arriving around in about 6 months."
1934,0,2008-10-27 12:03:59,2008-10-28 00:38:31,116.324088,40.007143,45272.0,14809,"User 0 will move from grid 14809 to grid 14431, arriving around in about 1 weeks, specifically next Tuesday."
1943,0,2008-10-28 00:38:31,2008-10-28 01:27:56,116.297269,40.012594,2965.0,14432,"User 0 will move from grid 14432 to grid 22362, arriving around in about 6 months."
3294,0,2008-10-28 02:47:56,2008-10-28 05:03:02,116.313268,40.004289,8106.0,14620,"User 0 will move from grid 14620 to grid 14431, arriving around in about 6 days, on 2008-11-04."
3410,0,2008-10-28 05:03:02,2008-10-29 09:21:43,116.319636,40.007635,101921.0,14809,"User 0 will move from grid 14809 to grid 14805, arriving around later today, in the morning."
3585,0,2008-10-29 09:44:03,2008-11-03 10:13:41,116.327742,39.97019,433778.0,14805,"User 0 will move from grid 14805 to grid 14807, arriving around in about 5 months."
3623,0,2008-11-03 10:15:51,2008-11-03 23:23:28,116.326645,39.996877,47257.0,14808,"User 0 will move from grid 14808 to grid 14618, arriving around in about 7 months."
4000,0,2008-11-04 00:01:18,2008-11-04 01:17:23,116.301391,40.008332,4565.0,14431,"User 0 will move from grid 14431 to grid 14806, arriving around in about 6 days, on 2008-11-10."
5251,0,2008-11-04 02:30:43,2008-11-04 03:03:13,116.296752,40.007063,1950.0,14431,"User 0 will move from grid 14431 to grid 16121, arriving around in about 5 months."
5767,0,2008-11-04 03:23:48,2008-11-10 01:36:42,116.313291,40.004341,511974.0,14620,"User 0 will move from grid 14620 to grid 15746, arriving around in about 5 months."
5948,0,2008-11-10 01:46:27,2008-11-10 03:35:22,116.327105,39.9799,6535.0,14806,"User 0 will move from grid 14806 to grid 14807, arriving around 2008-11-10 03:40:42."
6078,0,2008-11-10 03:40:42,2008-11-11 00:17:09,116.327001,39.989265,74187.0,14807,
6127,0,2008-11-11 00:17:09,2008-11-11 01:00:59,116.29693,40.011438,2630.0,14431,"User 0 will move from grid 14431 to grid 14803, arriving around in about 2 days, on 2008-11-13."
7539,0,2008-11-11 02:30:39,2008-11-12 02:30:08,116.313188,40.003984,86369.0,14620,
7758,0,2008-11-12 02:51:55,2008-11-12 03:32:57,116.324625,39.99969,2462.0,14808,"User 0 will move from grid 14808 to grid 19164, arriving around in about 5 months."
7892,0,2008-11-12 03:37:23,2008-11-12 04:24:57,116.32451,40.007138,2854.0,14809,
8145,0,2008-11-12 04:52:19,2008-11-13 06:52:04,116.321506,40.008973,93585.0,14809,"User 0 will move from grid 14809 to grid 14429, arriving around 2008-11-19 13:47:56."
8408,0,2008-11-13 06:52:04,2008-11-13 07:36:14,116.319394,40.005306,2650.0,14809,"User 0 will move from grid 14809 to grid 14810, arriving around later today, in the afternoon."
8555,0,2008-11-13 07:50:34,2008-11-13 11:03:09,116.317337,39.953094,11555.0,14803,
8700,0,2008-11-13 11:06:24,2008-11-13 14:01:21,116.323682,40.001233,10497.0,14808,
