Unnamed: 0,userID,stime,etime,lon,lat,duration,grid,context_fuzzy,context_precise
102,0,2008-10-23 03:01:40,2008-10-23 04:08:07,116.301309,39.984345,3987.0,14428,,
419,0,2008-10-23 04:30:57,2008-10-23 09:44:15,116.322261,39.998151,18798.0,14808,"User 0 will move from grid 14808 to grid 14800, arriving around in about 3 days, on 2008-10-26.","User 0 will move from grid 14808 to grid 14800, at 2008-10-26 15:03:47."
491,0,2008-10-23 09:44:15,2008-10-26 13:44:12,116.321396,40.007122,273597.0,14809,"User 0 will move from grid 14809 to grid 14806, arriving around in about 2 weeks, specifically next Monday.","User 0 will move from grid 14809 to grid 14806, at 2008-11-10 01:46:27."
1889,0,2008-10-26 15:03:47,2008-10-27 11:54:52,116.320306,39.926631,75065.0,14800,"User 0 will move from grid 14800 to grid 14806, arriving around in about 5 months.","User 0 will move from grid 14800 to grid 14806, at 2009-04-04 10:21:59."
1934,0,2008-10-27 12:03:59,2008-10-28 00:38:31,116.324088,40.007143,45272.0,14809,"User 0 will move from grid 14809 to grid 14431, at 2008-11-11 00:17:09.","User 0 will move from grid 14809 to grid 14431, at 2008-11-11 00:17:09."
1943,0,2008-10-28 00:38:31,2008-10-28 01:27:56,116.297269,40.012594,2965.0,14432,"User 0 will move from grid 14432 to grid 14431, at 2008-11-04 02:30:43.","User 0 will move from grid 14432 to grid 14431, at 2008-11-04 02:30:43."
3294,0,2008-10-28 02:47:56,2008-10-28 05:03:02,116.313268,40.004289,8106.0,14620,"User 0 will move from grid 14620 to grid 14404, arriving around in about 5 months.","User 0 will move from grid 14620 to grid 14404, at 2009-04-10 08:54:48."
3410,0,2008-10-28 05:03:02,2008-10-29 09:21:43,116.319636,40.007635,101921.0,14809,"User 0 will move from grid 14809 to grid 14805, arriving around later today, in the morning.","User 0 will move from grid 14809 to grid 14805, at 2008-10-29 09:44:03."
3585,0,2008-10-29 09:44:03,2008-11-03 10:13:41,116.327742,39.97019,433778.0,14805,"User 0 will move from grid 14805 to grid 14431, at 2008-11-04 00:01:18.","User 0 will move from grid 14805 to grid 14431, at 2008-11-04 00:01:18."
3623,0,2008-11-03 10:15:51,2008-11-03 23:23:28,116.326645,39.996877,47257.0,14808,"User 0 will move from grid 14808 to grid 14807, arriving around in about 6 days, on 2008-11-10.","User 0 will move from grid 14808 to grid 14807, at 2008-11-10 03:40:42."
4000,0,2008-11-04 00:01:18,2008-11-04 01:17:23,116.301391,40.008332,4565.0,14431,,
5251,0,2008-11-04 02:30:43,2008-11-04 03:03:13,116.296752,40.007063,1950.0,14431,"User 0 will move from grid 14431 to grid 14803, arriving around in about 1 weeks, specifically next Thursday.","User 0 will move from grid 14431 to grid 14803, at 2008-11-13 07:50:34."
5767,0,2008-11-04 03:23:48,2008-11-10 01:36:42,116.313291,40.004341,511974.0,14620,"User 0 will move from grid 14620 to grid 15746, arriving around in about 5 months.","User 0 will move from grid 14620 to grid 15746, at 2009-04-05 08:11:13."
5948,0,2008-11-10 01:46:27,2008-11-10 03:35:22,116.327105,39.9799,6535.0,14806,,
6078,0,2008-11-10 03:40:42,2008-11-11 00:17:09,116.327001,39.989265,74187.0,14807,,
6127,0,2008-11-11 00:17:09,2008-11-11 01:00:59,116.29693,40.011438,2630.0,14431,"User 0 will move from grid 14431 to grid 14810, at 2008-11-13 14:01:21.","User 0 will move from grid 14431 to grid 14810, at 2008-11-13 14:01:21."
7539,0,2008-11-11 02:30:39,2008-11-12 02:30:08,116.313188,40.003984,86369.0,14620,,
7758,0,2008-11-12 02:51:55,2008-11-12 03:32:57,116.324625,39.99969,2462.0,14808,,
7892,0,2008-11-12 03:37:23,2008-11-13 07:36:14,116.32451,40.007138,100731.0,14809,"User 0 will move from grid 14809 to grid 16121, arriving around in about 5 months.","User 0 will move from grid 14809 to grid 16121, at 2009-04-04 11:24:14."
8555,0,2008-11-13 07:50:34,2008-11-13 11:03:09,116.317337,39.953094,11555.0,14803,"User 0 will move from grid 14803 to grid 14052, arriving around in about 5 months.","User 0 will move from grid 14803 to grid 14052, at 2009-04-04 07:22:09."
8700,0,2008-11-13 11:06:24,2008-11-13 14:01:21,116.323682,40.001233,10497.0,14808,,
8714,0,2008-11-13 14:01:21,2008-11-14 01:53:45,116.324611,40.015903,42744.0,14810,,
